Mode,Dof,ControlType,PointOfInterest,Cycle,Fn,Ft,deltaN,deltaN
1,1,0,5,0,9.39556,-0.742245,-13.5814,0.000735901
1,1,0,5,0,9.39461,-0.742341,-13.5814,0.000735901
1,1,0,5,0,9.3936,-0.742463,-13.5814,0.000735901
1,1,0,5,0,9.39281,-0.742602,-13.5814,0.000735901
1,1,0,5,0,9.39245,-0.742614,-13.5814,0.000735901
1,1,0,5,0,9.39228,-0.742645,-13.5814,0.000735901
1,1,0,5,0,9.39288,-0.742603,-13.5814,0.000735901
1,1,0,5,0,9.39383,-0.742448,-13.5814,0.000735901
1,1,0,5,0,9.39496,-0.742359,-13.5814,0.000735901
1,1,0,5,0,9.39623,-0.742339,-13.5814,0.000735901
1,1,0,5,0,9.39656,-0.742444,-13.5814,0.000735901
1,1,0,5,0,9.39558,-0.742598,-13.5814,0.000735901
1,1,0,5,0,9.39445,-0.7427,-13.5814,0.000735901
1,1,0,5,0,9.39383,-0.742794,-13.5814,0.000735901
1,1,0,5,0,9.39286,-0.742665,-13.5814,0.000735901
1,1,0,5,0,9.39379,-0.742459,-13.5814,0.000735901
1,1,0,5,0,9.39458,-0.742424,-13.5814,0.000735901
1,1,0,5,0,9.39428,-0.742413,-13.5814,0.000735901
1,1,0,5,0,9.39409,-0.742446,-13.5814,0.000735901
1,1,0,5,0,9.39419,-0.742588,-13.5814,0.000735901
1,1,0,5,0,9.39416,-0.742665,-13.5814,0.000735901
1,1,0,5,0,9.39457,-0.742619,-13.5814,0.000735901
1,1,0,5,0,9.39465,-0.742489,-13.5814,0.000735901
1,1,0,5,0,9.39522,-0.742349,-13.5814,0.000735901
1,1,0,5,0,9.39547,-0.742331,-13.5814,0.000735901
1,1,0,5,0,9.39444,-0.742412,-13.5814,0.000735901
1,1,0,5,0,9.39282,-0.742545,-13.5814,0.000735901
1,1,0,5,0,9.39264,-0.742594,-13.5814,0.000735901
1,1,0,5,0,9.39204,-0.742591,-13.5814,0.000735901
1,1,0,5,0,9.391,-0.742589,-13.5814,0.000735901
1,1,0,5,0,9.39201,-0.742488,-13.5814,0.000735901
1,1,0,5,0,9.39366,-0.742413,-13.5814,0.000735901
1,1,0,5,0,9.39408,-0.74235,-13.5814,0.000735901
1,1,0,5,0,9.39396,-0.742247,-13.5814,0.000735901
1,1,0,5,0,9.39458,-0.742124,-13.5814,0.000735901
1,1,0,5,0,9.39541,-0.742052,-13.5814,0.000735901
1,1,0,5,0,9.39438,-0.742112,-13.5814,0.000735901
1,1,0,5,0,9.39404,-0.742213,-13.5814,0.000735901
1,1,0,5,0,9.39429,-0.742321,-13.5814,0.000735901
1,1,0,5,0,9.39411,-0.742367,-13.5814,0.000735901
1,1,0,5,0,9.39435,-0.742359,-13.5814,0.000735901
1,1,0,5,0,9.39485,-0.742384,-13.5814,0.000735901
1,1,0,5,0,9.39516,-0.742309,-13.5814,0.000735901
1,1,0,5,0,9.39383,-0.742303,-13.5814,0.000735901
1,1,0,5,0,9.39173,-0.74239,-13.5814,0.000735901
1,1,0,5,0,9.39205,-0.742243,-13.5814,0.000735901
1,1,0,5,0,9.39319,-0.742194,-13.5814,0.000735901
1,1,0,5,0,9.39191,-0.742294,-13.5814,0.000735901
1,1,0,5,0,9.39114,-0.742249,-13.5814,0.000735901
1,1,0,5,0,9.38947,-0.742285,-13.5814,0.000735901
1,1,0,5,0,9.38499,-0.742479,-13.5814,0.000735901
1,1,0,5,0,9.38321,-0.742436,-13.5814,0.000735901
1,1,0,5,0,9.38474,-0.742321,-13.5814,0.000735901
1,1,0,5,0,9.3853,-0.742349,-13.5814,0.000735901
1,1,0,5,0,9.38786,-0.742299,-13.5814,0.000735901
1,1,0,5,0,9.38934,-0.742298,-13.5814,0.000735901
1,1,0,5,0,9.39078,-0.742259,-13.5814,0.000735901
1,1,0,5,0,9.3917,-0.742272,-13.5814,0.000735901
1,1,0,5,0,9.39083,-0.742339,-13.5814,0.000735901
1,1,0,5,0,9.39029,-0.742293,-13.5814,0.000735901
1,1,0,5,0,9.38986,-0.742405,-13.5814,0.000735901
1,1,0,5,0,9.39014,-0.742493,-13.5814,0.000735901
1,1,0,5,0,9.39233,-0.742467,-13.5814,0.000735901
1,1,0,5,0,9.39595,-0.742305,-13.5814,0.000735901
1,1,0,5,0,9.39738,-0.742128,-13.5814,0.000735901
