2020-12-07 13:28:08.822 VERB  [17152] Cleared watchdog on q8_usb-0.watchdog.
2020-12-07 13:28:08.822 INFO  [17152] Opened q8_usb-0
2020-12-07 13:28:08.823 VERB  [17152] Enabled q8_usb-0
2020-12-07 13:29:01.439 VERB  [17152] Disabled q8_usb-0
2020-12-07 13:29:01.440 VERB  [17152] Stopped watchdog on q8_usb-0.watchdog.
2020-12-07 13:29:01.440 VERB  [17152] Cleared watchdog on q8_usb-0.watchdog.
2020-12-07 13:29:01.451 INFO  [17152] Closed q8_usb-0
2020-12-07 14:02:17.412 INFO  [15792] Logger 0 Initialized
2020-12-07 14:02:17.540 VERB  [15792] Module q8_usb-0.AI gained channel numbers [0, 1, 2, 3, 4, 5, 6, 7].
2020-12-07 14:02:17.540 VERB  [15792] Module q8_usb-0.AO gained channel numbers [0, 1, 2, 3, 4, 5, 6, 7].
2020-12-07 14:02:17.540 VERB  [15792] Module q8_usb-0.DI gained channel numbers [0, 1, 2, 3, 4, 5, 6, 7].
2020-12-07 14:02:17.540 VERB  [15792] Module q8_usb-0.DO gained channel numbers [0, 1, 2, 3, 4, 5, 6, 7].
2020-12-07 14:02:17.540 VERB  [15792] Module q8_usb-0.encoder gained channel numbers [0, 1, 2, 3, 4, 5, 6, 7].
2020-12-07 14:02:17.540 VERB  [15792] Module q8_usb-0.velocity gained channel numbers [0, 1, 2, 3, 4, 5, 6, 7].
2020-12-07 14:02:17.627 VERB  [15792] Set q8_usb-0 options to: ""
2020-12-07 14:02:17.627 VERB  [15792] Wrote q8_usb-0.AO expire analog expiration states.
2020-12-07 14:02:17.628 VERB  [15792] Wrote q8_usb-0.AO analog output ranges.
2020-12-07 14:02:17.628 VERB  [15792] Set q8_usb-0.DO channels [0, 1, 2, 3, 4, 5, 6, 7] directions to outputs.
2020-12-07 14:02:17.628 VERB  [15792] Wrote q8_usb-0.DO digital output expiration sates.
2020-12-07 14:02:17.638 VERB  [15792] Set q8_usb-0 options to: ""
2020-12-07 14:02:17.649 VERB  [15792] Wrote q8_usb-0.encoder quadrature factors.
2020-12-07 14:02:17.650 VERB  [15792] Stopped watchdog on q8_usb-0.watchdog.
2020-12-07 14:02:17.650 VERB  [15792] Cleared watchdog on q8_usb-0.watchdog.
2020-12-07 14:02:17.650 INFO  [15792] Opened q8_usb-0
2020-12-07 14:02:17.650 VERB  [15792] Enabled q8_usb-0
2020-12-07 14:10:54.535 VERB  [15792] Wrote q8_usb-0.encoder encoder counts.
2020-12-07 15:13:02.506 VERB  [15792] Disabled q8_usb-0
2020-12-07 15:13:02.507 VERB  [15792] Stopped watchdog on q8_usb-0.watchdog.
2020-12-07 15:13:02.507 VERB  [15792] Cleared watchdog on q8_usb-0.watchdog.
2020-12-07 15:13:02.519 INFO  [15792] Closed q8_usb-0
2020-12-08 16:33:21.839 INFO  [39704] Logger 0 Initialized
2020-12-08 16:33:21.988 VERB  [39704] Module q8_usb-0.AI gained channel numbers [0, 1, 2, 3, 4, 5, 6, 7].
2020-12-08 16:33:21.988 VERB  [39704] Module q8_usb-0.AO gained channel numbers [0, 1, 2, 3, 4, 5, 6, 7].
2020-12-08 16:33:21.988 VERB  [39704] Module q8_usb-0.DI gained channel numbers [0, 1, 2, 3, 4, 5, 6, 7].
2020-12-08 16:33:21.988 VERB  [39704] Module q8_usb-0.DO gained channel numbers [0, 1, 2, 3, 4, 5, 6, 7].
2020-12-08 16:33:21.988 VERB  [39704] Module q8_usb-0.encoder gained channel numbers [0, 1, 2, 3, 4, 5, 6, 7].
2020-12-08 16:33:21.988 VERB  [39704] Module q8_usb-0.velocity gained channel numbers [0, 1, 2, 3, 4, 5, 6, 7].
2020-12-08 16:33:22.028 VERB  [39704] Set q8_usb-0 options to: ""
2020-12-08 16:33:22.028 VERB  [39704] Wrote q8_usb-0.AO expire analog expiration states.
2020-12-08 16:33:22.028 VERB  [39704] Wrote q8_usb-0.AO analog output ranges.
2020-12-08 16:33:22.028 VERB  [39704] Set q8_usb-0.DO channels [0, 1, 2, 3, 4, 5, 6, 7] directions to outputs.
2020-12-08 16:33:22.028 VERB  [39704] Wrote q8_usb-0.DO digital output expiration sates.
2020-12-08 16:33:22.039 VERB  [39704] Set q8_usb-0 options to: ""
2020-12-08 16:33:22.049 VERB  [39704] Wrote q8_usb-0.encoder quadrature factors.
2020-12-08 16:33:22.050 VERB  [39704] Stopped watchdog on q8_usb-0.watchdog.
2020-12-08 16:33:22.050 VERB  [39704] Cleared watchdog on q8_usb-0.watchdog.
2020-12-08 16:33:22.050 INFO  [39704] Opened q8_usb-0
2020-12-08 16:33:22.050 VERB  [39704] Enabled q8_usb-0
2020-12-08 16:33:44.952 VERB  [39704] Wrote q8_usb-0.encoder encoder counts.
2020-12-08 16:33:44.963 VERB  [39704] Wrote q8_usb-0.encoder encoder counts.
2020-12-08 16:34:59.714 VERB  [39704] Wrote q8_usb-0.encoder encoder counts.
2020-12-08 16:34:59.724 VERB  [39704] Wrote q8_usb-0.encoder encoder counts.
