Time,Mode,Dof,ControlType,PointOfInterest,Cycle,Fn,Ft,deltaN,deltaN,eeRadius,CombinedE,ContactRadius,PlanarA,SphericalA,MeanStress,MeanStrain,ElasticStrainEnergy_N,YoungModulusNS,PoissonNS,CouplingBetaNS,ShearModulusNS,ComplianceN_NS,ComplianceT_NS,CentroidX,CentroidY,CentroidZ
0.644245,1,1,0,5,0,0,0,0,0,30,-nan(ind),0,0,0,-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind)
0.655358,1,1,0,5,0,0,0,0,0,30,-nan(ind),0,0,0,-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind)
0.66624,1,1,0,5,0,0,0,0,0,30,-nan(ind),0,0,0,-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind)
0.677448,1,1,0,5,0,0,0,0,0,30,-nan(ind),0,0,0,-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind)
0.688732,1,1,0,5,0,0,0,0,0,30,-nan(ind),0,0,0,-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind)
0.700015,1,1,0,5,0,0,0,0,0,30,-nan(ind),0,0,0,-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind)
0.711206,1,1,0,5,0,0,0,0,0,30,-nan(ind),0,0,0,-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind)
0.722969,1,1,0,5,0,0,0,0,0,30,-nan(ind),0,0,0,-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind)
0.733697,1,1,0,5,0,0,0,0,0,30,-nan(ind),0,0,0,-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind)
0.744744,1,1,0,5,0,0,0,0,0,30,-nan(ind),0,0,0,-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind)
0.75596,1,1,0,5,0,0,0,0,0,30,-nan(ind),0,0,0,-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind)
0.767021,1,1,0,5,0,0,0,0,0,30,-nan(ind),0,0,0,-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind)
0.778306,1,1,0,5,0,0,0,0,0,30,-nan(ind),0,0,0,-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind)
0.788853,1,1,0,5,0,0,0,0,0,30,-nan(ind),0,0,0,-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind)
0.800644,1,1,0,5,0,0,0,0,0,30,-nan(ind),0,0,0,-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind)
0.811609,1,1,0,5,0,0,0,0,0,30,-nan(ind),0,0,0,-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind)
0.822753,1,1,0,5,0,0,0,0,0,30,-nan(ind),0,0,0,-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind)
0.834109,1,1,0,5,0,0,0,0,0,30,-nan(ind),0,0,0,-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind)
0.845591,1,1,0,5,0,0,0,0,0,30,-nan(ind),0,0,0,-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind)
0.857602,1,1,0,5,0,0,0,0,0,30,-nan(ind),0,0,0,-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind)
0.868944,1,1,0,5,0,0,0,0,0,30,-nan(ind),0,0,0,-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind)
0.878761,1,1,0,5,0,0,0,0,0,30,-nan(ind),0,0,0,-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind)
0.889088,1,1,0,5,0,0,0,0,0,30,-nan(ind),0,0,0,-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind)
0.900923,1,1,0,5,0,0,0,0,0,30,-nan(ind),0,0,0,-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind)
